```csv
TIẾT,CHỦ ĐỀ,"Nội dung/đơn vị kiến thức
BÀI DẠY",YÊU CẦU CẦN ĐẠT,Cột 1
1,Mở đầu,"Mở đầu
Bài 1. Giới thiệu về KHTN","- Nêu được khái niệm khoa học tự nhiên.
 - Quan sát các hoạt động trong cuộc sống và nhận ra đâu là hoạt động nghiên cứu khoa học, đối tượng nghiên cứu của chúng là gì.
 - Trình bày được vai trò của khoa học tự nhiên trong đời sống.",
 - Nêu được khái niệm và vai trò của khoa học tự nhiên trong đời sống; nhận biết hoạt động nghiên cứu khoa học và đối tượng nghiên cứu.
```
"2, 3",Mở đầu,"Bài 2. Các lĩnh vực chủ yếu của KHTN (tiết 1, 2)","- Trình bày được một số lĩnh vực chủ yếu của khoa học tự nhiên.
 - Tìm hiểu các lĩnh vực của khoa học tự nhiên thông qua thực hiện và quan sát các thí nghiệm trong SGK.
 - Phân biệt được các lĩnh vực của khoa học tự nhiên dựa vào đối tượng nghiên cứu; Phân biệt được vật sống và vật không sống dựa vào các đặc điểm đặc trưng.",
4,Mở đầu,Bài 3. Quy định an toàn trong phòng thực hành. Giới thiệu một số dụng cụ đo - Sử dụng kính lúp và kính hiển vi quang học (tiết 1),"- Trình bày được cách sử dụng một số dụng cụ đo thông thường khi học tập môn Khoa học tự nhiên (các dụng cụ đo chiều dài, thể tích, ...).
 - Nêu được các quy định an toàn khi học trong phòng thực hành.
 - Phân biệt được các kí hiệu cảnh báo trong phòng thực hành.
 - Đọc và phân biệt được các hình ảnh quy định an toàn phòng thực hành.
 - Trình bày được cách sử dụng kính lúp, kính hiển vi quang học thông qua tìm hiểu sách giáo khoa hoặc video hướng dẫn sử dụng.",
"5, 6, 7",Mở đầu,"Bài 3. Quy định an toàn trong phòng thực hành. Giới thiệu một số dụng cụ đo - Sử dụng kính lúp và kính hiển vi quang học (tiết 2, 3, 4)","- Trình bày được cách sử dụng một số dụng cụ đo thông thường khi học tập môn Khoa học tự nhiên (các dụng cụ đo chiều dài, thể tích, ...).
 - Nêu được các quy định an toàn khi học trong phòng thực hành.
 - Phân biệt được các kí hiệu cảnh báo trong phòng thực hành.
 - Đọc và phân biệt được các hình ảnh quy định an toàn phòng thực hành.
 - Trình bày được cách sử dụng kính lúp, kính hiển vi quang học thông qua tìm hiểu sách giáo khoa hoặc video hướng dẫn sử dụng.",
8,Chủ đề 1. Các phép đo,"
Bài 4. Đo chiều dài (tiết 1)","- Nêu được cách đo, đơn vị đo và dụng cụ thường dùng để đo chiều dài của một vật; Nêu được tầm quan trọng của việc ước lượng trước khi đo chiều dài trong một số trường hợp đơn giản.",
9,Chủ đề 1. Các phép đo,Bài 4. Đo chiều dài (tiết 2),"- Nêu được cách đo, đơn vị đo và dụng cụ thường dùng để đo chiều dài của một vật; Nêu được tầm quan trọng của việc ước lượng trước khi đo chiều dài trong một số trường hợp đơn giản.",
"10, 11",Chủ đề 1. Các phép đo,"Bài 5. Đo khối lượng (tiết 1, 2)","- Nêu được cách đo, đơn vị đo và dụng cụ thường dùng để đo khối lượng của một vật; Nêu được tầm quan trọng của việc ước lượng trước khi đo khối lượng trong một số trường hợp đơn giản.",
12,Chủ đề 1. Các phép đo,Bài 6. Đo thời gian (tiết 1),"- Nêu được cách đo, đơn vị đo và dụng cụ thường dùng để đo thời gian của một hoạt động; Nêu được tầm quan trọng của việc ước lượng trước khi đo thời gian trong một số trường hợp đơn giản.",
