TIẾT,"Nội dung/đơn vị kiến thức
BÀI DẠY",YÊU CẦU CẦN ĐẠT
"1, 2, 3","Bài 1. Sử dụng một số hóa chất, thiết bị cơ bản trong phòng thí nghiệm (tiết 1, 2, 3)","- Nhận biết được một số dụng cụ và hoá chất sử dụng trong môn Khoa học tự nhiên 8. 
 - Nêu được quy tắc sử dụng hoá chất an toàn (chủ yếu những hoá chất trong môn Khoa học tự nhiên 8). 
 - Nhận biết được các thiết bị điện trong môn Khoa học tự nhiên 8 và trình bày được cách sử dụng điện an toàn."
,Chủ đề 1: Phản ứng hóa học ,
"4, 5, 6 ","
 Bài 2. Phản ứng hóa học (tiết 1)","– Nêu được khái niệm sự biến đổi vật lí, biến đổi hoá học.
  – Phân biệt được sự biến đổi vật lí, biến đổi hoá học. Đưa ra được ví dụ về sự biến đổi vật lí và sự biến đổi hoá học
 – Tiến hành được một số thí nghiệm về sự biến đổi vật lí và biến đổi hoá học. 
 – Nêu được khái niệm phản ứng hoá học, chất đầu và sản phẩm. 
 – Nêu được sự sắp xếp khác nhau của các nguyên tử trong phân tử chất đầu và sản phẩm – Chỉ ra được một số dấu hiệu chứng tỏ có phản ứng hoá học xảy ra"
"7, 8","Bài 3. Mol và tỉ khối của chất khí (tiết 1, 2)","– Nêu được khái niệm về mol (nguyên tử, phân tử).
  – Tính được khối lượng mol (M); Chuyển đổi được giữa số mol (n) và khối lượng (m) 
 – Nêu được khái niệm tỉ khối, viết được công thức tính tỉ khối của chất khí. 
 – So sánh được chất khí này nặng hay nhẹ hơn chất khí khác dựa vào công thức tính tỉ khối. 
 – Nêu được khái niệm thể tích mol của chất khí ở áp suất 1 bar và 25 0 C. 
 – Sử dụng được công  để chuyển đổi giữa số mol và thể tích chất khí ở điều kiện chuẩn: áp suất 1 bar ở 25 0 C."
"9, 10, 11, 12","Bài 4. Dung dịch và nồng độ (tiết 1, 2, 3, 4)","– Nêu được dung dịch là hỗn hợp lỏng đồng nhất của các chất đã tan trong nhau. 
 – Nêu được định nghĩa độ tan của một chất trong nước, nồng độ phần trăm, nồng độ mol. 
 – Tính được độ tan, nồng độ phần trăm; nồng độ mol theo công thức.
  – Tiến hành được thí nghiệm pha một dung dịch theo một nồng độ cho trước"
"13, 14, 15, 16","Bài 5. Định luật bảo toàn khối lượng. Phương trình hóa học (tiết 1, 2, 3, 4)","– Tiến hành được thí nghiệm để chứng minh: Trong phản ứng hoá học, khối lượng được bảo toàn. 
 – Phát biểu được định luật bảo toàn khối lượng.
 – Nêu được khái niệm phương trình hoá học và các bước lập phương trình hoá học.
 – Trình bày được ý nghĩa của phương trình hoá học.
  – Lập được sơ đồ phản ứng hoá học dạng chữ và phương trình hoá học (dùng công thức hoá học) của một số phản ứng hoá học cụ thể."
"17, 18, 19, 20","Bài 6. Tính theo phương trình hóa học (tiết 1, 2, 3, 4)","- Tính được lượng chất trong phương trình hóa học theo số mol, khối lượng hoặc thể tích ở điều kiện 1 bar và 25 0 C.
  – Nêu được khái niệm hiệu suất của phản ứng và tính được hiệu suất của một phản ứng dựa vào lượng sản phẩm thu được theo lí thuyết và lượng sản phẩm thu được theo thực tế."
"21, 22, 23, 24","Bài 7. Tốc độ phản ứng và chất xúc tác (tiết 1, 2, 3, 4)","- Nêu được khái niệm về tốc độ phản ứng (chỉ mức độ nhanh hay chậm của phản ứng hoá học). 
 – Trình bày được một số yếu tố ảnh hưởng đến tốc độ phản ứng và nêu được một số ứngdụng thực tế.
  – Tiến hành được thí nghiệm và quan sát thực tiễn: 
 + So sánh được tốc độ một số phản ứng hoá học; 
 + Nêu được các yếu tố làm thay đổi tốc độ phản ứng; 
 + Nêu được khái niệm về chất xúc tác."
,Chủ đề 2: Acid - Base - pH - Oxide - Muối. Phân bón hóa học,
"25, 26, 27"," 
 Bài 8. Acid (tiết 1, 2, 3)","– Nêu được khái niệm acid (tạo ra ion H+ )
 – Tiến hành được thí nghiệm của hydrochloric acid (làm đổi màu chất chỉ thị; phản ứng với kim loại), nêu và giải thích được hiện tượng xảy ra trong thí nghiệm (viết phương trình hoá học) và rút ra nhận xét về tính chất của acid. 
 – Trình bày được một số ứng dụng của một số acid thông dụng (HCl, H2SO4, CH3COOH)."
"28, 29",Bài 9. Base. Thang pH (tiết 1),"– Nêu được khái niệm base (tạo ra ion OH– ) 
 – Nêu được kiềm là các hydroxide tan tốt trong nước. 
 – Tiến hành được thí nghiệm base là làm đổi màu chất chỉ thị, phản ứng với acid tạo muối, nêu và giải thích được hiện tượng xảy ra trong thí nghiệm (viết phương trình hoá học) và rút ra nhận xét về tính chất của base."
30,Ôn tập kiểm tra giữa kì I,YCCĐ trong các bài đã học.
