"TIẾT
",Chủ đề ,"Nội dung/đơn vị kiến thức
BÀI HỌC",YÊU CẦU CẦN ĐẠT
"1, 2, 3",Mở đầu,"Mở đầu (3 tiết) Bài 1. Giới thiệu một số dụng cụ và hoá chất. Thuyết trình về một số vấn đề khoa học (tiết 1, 2, 3)","Giới thiệu được một số dụng cụ, hóa chất cơ bản. Trình bày được một số vấn đề khoa học."
4,,CHỦ ĐỀ 1. NĂNG LƯỢNG CƠ HỌC (6 tiết) Bài 2. Cơ năng (tiết 1),"Nêu được khái niệm cơ năng, thế năng và động năng."
"5, 6",,"Bài 2. Cơ năng (tiết 2, 3)",Vận dụng công thức tính thế năng và động năng trong các bài tập đơn giản.
"7, 8",,"Bài 3. Công và công suất (tiết 1, 2)","Trình bày được khái niệm công, công suất. Tính được công và công suất trong các trường hợp cụ thể."
9,,Ôn tập chủ đề 1,"Hệ thống hóa kiến thức về năng lượng cơ học, công và công suất."
"10, 11, 12",,"CHỦ ĐỀ 2. ÁNH SÁNG (12 tiết) Bài 4. Khúc xạ ánh sáng (tiết 1, 2, 3)",Giải thích được hiện tượng khúc xạ ánh sáng. Vẽ được tia khúc xạ.
"13, 14, 15",,"Bài 5. Tán sắc ánh sáng qua lăng kính. Màu sắc của vật (tiết 1, 2, 3)",Nêu được hiện tượng tán sắc ánh sáng. Giải thích được sự hình thành màu sắc của vật.
16,,Bài 6. Phản xạ toàn phần,Trình bày được điều kiện xảy ra phản xạ toàn phần và ứng dụng.
"17, 18, 19, 20",,"Bài 7. Thấu kính. Kính lúp (tiết 1, 2, 3, 4)","Nêu được đặc điểm của thấu kính hội tụ, phân kì. Giải thích và vẽ được ảnh qua thấu kính. Sử dụng được kính lúp."
21,,Ôn tập chủ đề 2,"Hệ thống hóa kiến thức về ánh sáng, khúc xạ, tán sắc và thấu kính."
"22, 23, 24",,"CHỦ ĐỀ 3. ĐIỆN (10 tiết) Bài 8. Điện trở. Định luật Ohm (tiết 1, 2, 3)",Nêu được khái niệm điện trở. Phát biểu và vận dụng được định luật Ohm cho đoạn mạch.
25,,Bài 8. Điện trở. Định luật Ohm (tiết 4),Vận dụng định luật Ohm giải các bài tập nâng cao.
"26, 27",,"Bài 9. Đoạn mạch nối tiếp (tiết 1, 2)","Nêu được đặc điểm đoạn mạch nối tiếp. Tính được điện trở tương đương và cường độ dòng điện, hiệu điện thế."
28,,Bài 10. Đoạn mạch song song (tiết 1),Nêu được đặc điểm đoạn mạch song song.
